;Address
0;REWE Filiale Paul-Gerhardt-Allee 30-32 in 81245 München
1;REWE Filiale Haunstetter Str. 239-241 in 86179 Augsburg
2;REWE Filiale Äußerer Laufer Platz 24 in 90403 Nürnberg
3;REWE Filiale Industriestr. 5 in 70565 Stuttgart
4;REWE nahkauf Thomas Auerswald e.K. Filiale Am Anger 27A in 76189 Karlsruhe-Daxlanden
5;REWE Filiale Brückenstr. 5 in 68549 Ilvesheim
6;REWE Filiale Bechtenwaldstr. 5 in 65931 Frankfurt / Zeilsheim-Zeilsheim
7;REWE Filiale Am Pfarrmorgen 2 in 65205 Wiesbaden
8;REWE Filiale An der Kotsche 9 in 04207 Leipzig
9;REWE Filiale Str. des 17. Juni 32 in 01257 Dresden / Leuben
10;REWE Filiale Michaelshof 2 in 53177 Bonn-Bad Godesberg
11;REWE Center Filiale Neusser Str. 665 in 50737 Köln-Weidenpesch-Weidenpesch
12;REWE Filiale Friedrich-Engels-Allee 279 in 42285 Wuppertal
13;REWE Filiale Sennestadtring 27-29 in 33689 Bielefeld
14;REWE Seipenbusch EH-oHG Filiale Mengeder Str. 413 in 44359 Dortmund-Nette
15;REWE Runkel EH-oHG Filiale Blanckertzstr. 2 in 40629 Düsseldorf-Ludenberg
16;REWE Mokanski EH-oHG Filiale Westenfelder Str. 202 in 44867 Bochum-Westenfeld
17;REWE Filiale Hannoversche Str. 92 in 30627 Hannover-Misburg-Nord
18;REWE Verbrauchermarkt Sliwik GmbH Filiale Am Ellenbogen 24D in 45355 Essen-Borbeck-Mitte
19;REWE Schüler EH-oHG Filiale Sankt-Urbanus-Kirchplatz 7 in 45894 Gelsenkirchen-Buer
20;REWE Filiale Turmstr. 60 in 10551 Berlin / Tiergarten-Moabit
21;REWE Filiale Römer Str. 244 in 47228 Duisburg
22;REWE Filiale Wolbecker Str. 44 in 48155 Münster
23;REWE Filiale Vor dem Steintor 74 in 28203 Bremen
24;REWE Filiale Kroonhorst 1-3 in 22549 Hamburg-Osdorf
25;REWE Filiale Alte Bahnhofstr. 9 in 08606 Oelsnitz/Vogtl.
26;REWE Filiale Eibenstocker Str. 109 in 08349 Johanngeorgenstadt
27;REWE Filiale Klingenthaler Str. 107 in 08209 Auerbach
28;REWE Nahkauf Mörl Filiale Sylvester-Lieb-Str. 2 in 07318 Saalfeld
29;REWE Filiale Heinrich-Wobst-Str. 1 in 07937 Langenwolschendorf
30;REWE Filiale Rathenaustr. 5-7 in 07318 Saalfeld
31;REWE Filiale Lengenfelder Str. 5 in 08468 Reichenbach / Vogtland
32;REWE Filiale Goethestr. 30 in 08468 Reichenbach im Vogtland
33;REWE Filiale Str. der Deutschen Einheit 1 e in 07422 Bad Blankenburg
34;REWE Filiale Bruno-Dost-Str. 1a in 08289 Schneeberg
35;REWE Filiale Schneeberger Str. 1 in 08107 Kirchberg-Burkersdorf
36;REWE Filiale Malmsgelänge 2 in 07381 Pößneck
37;REWE Filiale Gerhart-Hauptmann-Str. 30 in 07973 Greiz
38;REWE Filiale Triptiser Str. 12A in 07955 Auma
39;REWE-Markt Glück oHG Filiale Marktstraße 75-81 in 07407 Rudolstadt-Volkstedt
40;REWE Filiale Zum Festplatz 3 in 07806 Neustadt an der Orla
41;REWE Nahkauf Petra Müller Filiale Am Postberg 2 in 07819 Triptis
42;REWE Filiale Zwickauer Str. 39 in 08112 Wilkau-Haßlau
43;REWE Filiale Marchlewskistr. 1 in 08062 Zwickau-Neuplanitz
44;REWE Filiale Uhlandstr. 1 in 08412 Werdau
45;REWE Filiale Neustädter Str. 42 in 07570 Weida
46;REWE nahkauf Loch Filiale Bachstr. 68-72 in 07768 Kahla
47;REWE Filiale Scheffelstr. 46 in 08066 Zwickau / Eckersbach
48;REWE Markt Annett Drieschner oHG Filiale Untere Hauptstr. 4b in 09376 Oelsnitz / Erzg.
49;REWE Filiale Chemnitzer Str. 46 in 09380 Thalheim
50;REWE Nicole Kunzendorf oHG Filiale Glauchauer Str 11 in 09350 Lichtenstein/Sa., Stadt
51;REWE Filiale Chemnitzer Str. 1 in 09385 Lugau
52;REWE Filiale Zeulsdorfer Str. 85 in 07549 Gera-Lusan
53;REWE Nahkauf Hildebrandt Filiale Am Mahlteich 1 in 09387 Jahnsdorf-Pfaffenhain
54;REWE Filiale Jenaer Str. 3 in 07646 Stadtroda-Podelsatz
55;REWE Filiale August-Bebel-Str. 1a in 07551 Gera / Zwötzen
56;REWE Filiale Salvador-Allende-Platz 25 in 07747 Jena / Lobeda
57;REWE Filiale Max-Steenbeck-Str. 48 in 07745 Jena/Winzerla-Winzerla
58;REWE Center Filiale Kesslerstr. 12 in 07745 Jena-Burgau-Burgau
59;REWE Markt GmbH Ost Filiale Am Gessingplatz 2 in 09526 Olbernhau, Stadt
60;REWE Filiale Dornaer Str. 2 in 07545 Gera
61;REWE Filiale Eisenberger Str. 87 in 07629 Hermsdorf
62;REWE Filiale Johannes-R.-Becher-Str. 25a in 07546 Gera / Bieblach
63;REWE Wolfgang Woitschig Filiale Einsiedler Hauptstr. 97 in 09123 Chemnitz
64;REWE Nahkauf Meissner Filiale Rudolf-Breitscheid-Str. 50 in 09405 Zschopau
65;REWE Filiale Wladimir-Sagorski-Str. 22 in 09122 Chemnitz-Morgenleite
66;REWE Filiale Fuchslöcherstr. 5 in 07745 Jena
67;REWE Center Filiale Annaberger Str. 317 in 09125 Chemnitz-Altchemnitz
68;REWE FMS Handels GmbH Filiale Zwickauer Str. 452 in 09117 Chemnitz / Reichenbrand-Siegmar
69;REWE Filiale Emil-Höllein-Platz 2 in 07743 Jena-Nord
70;REWE Filiale In den Satteln 4 in 07616 Bürgel
71;REWE Filiale Oberfrohnaer Str. 63+65 in 09117 Chemnitz-Rabenstein
72;REWE Filiale Waldenburger Str. 33 in 09116 Chemnitz-Altendorf
73;REWE Filiale Limbacher Str. 63 in 09116 Chemnitz
74;REWE Filiale Am Wall 1 in 09111 Chemnitz-Zentrum
75;REWE Filiale Ecke Limbacher Str. 1/ in 09113 Chemnitz
76;REWE Filiale Jenaer Str. 36 in 07607 Eisenberg
77;REWE Filiale Planitzwiese 8 in 09130 Chemnitz / Sonnenberg-Sonnenberg
78;REWE Filiale Eschenstr. 3 in 07774 Dornburg-Camburg
79;REWE Filiale Chemnitzer Straße-B 95 in 09322 Penig-Tauscha
80;REWE Filiale Chemnitzer Str. 91 a in 09217 Burgstädt
81;REWE Filiale Seeberstr. 1 in 09557 Flöha, Stadt
82;REWE Meissner, Petra Filiale Hauptstr. 11C in 09623 Clausnitz
83;REWE S.E.M. Schkölener Einkaufsmarkt GmbH Filiale Taubenherd 15 in 07619 Schkölen-Hainchen
84;REWE Filiale Naumburger Str. 31-32 in 07774 Camburg
85;REWE Filiale Zeitzer Str. 51 in 04610 Meuselwitz
86;REWE nahkauf Thomas Sachse Filiale Fabrikstr. 37 in 04610 Meuselwitz
87;REWE Filiale Dr.-W.-Külz-Str. 8 in 09618 Brand-Erbisdorf
88;REWE Filiale Am Bahnhof 4 in 09599 Freiberg
89;REWE Filiale Friedeburger Str. 11 in 09599 Freiberg
90;REWE Filiale Weißenfelser Str 7 in 06618 Naumburg
91;REWE Filiale Wilhelm-Külz-Str. 8 in 06679 Hohenmölsen
92;REWE Nahkauf Sachse Geringswalde Filiale Dresdner Str. 90 in 09326 Geringswalde
93;REWE Filiale Beuditzpassage 6 in 06667 Weißenfels
94;REWE Filiale Planberg 7 in 01744 Dippoldiswalde
95;REWE Filiale Silikastr. 1 in 04651 Bad Lausick
96;REWE Nahkauf Meißner Hartha HM Filiale Str. des Friedens 6 in 04746 Hartha
97;REWE Filiale Pegauer Str. 105-107 in 04442 Zwenkau
98;REWE Filiale Ostwald-Str. 10 in 04703 Leisnig-Fischendorf
99;REWE Filiale Dresdner Str. 250 in 01705 Freital
100;REWE Jacqueline Podschun oHG Filiale Markt 3 a in 06242 Braunsbedra
101;REWE Nahkauf Sachse Filiale Hauptstr. 229 in 04416 Markkleeberg
102;REWE Filiale Ziegelrodaer Str. 29 in 06571 Roßleben
103;REWE Filiale Ernst-Thälmann-Str. 15 in 06249 Mücheln
104;REWE Filiale Bahnhofstr. 33 in 06577 Heldrungen
105;REWE Nahkauf Hütter GmbH Freital Oppelstr. Filiale Oppelstr. 3 in 01705 Freital
106;REWE Nahkauf Sachse Filiale Krakauer Str. 8 in 04420 Markranstädt-Quesitz
107;REWE Filiale Ernst-Schneller-Str. 2 in 01809 Heidenau / Sachs
108;REWE Filiale Am Haupttor 14 in 06237 Leuna
109;REWE Filiale Siemensstr. 77 in 04420 Markranstädt
110;REWE Markt Frank Zander oHG Filiale Bornaische Str. 111 in 04279 Leipzig / Lößnig
111;REWE Filiale Leipziger Str. 77 in 04420 Markranstädt
112;REWE Filiale An der Kotsche 9 in 04207 Leipzig
113;REWE Filiale Bahnhofstr. 14 in 01809 Heidenau
114;REWE Filiale Ladestr. 5 in 04683 Naunhof
115;REWE Filiale Remscheider Str. 3 a in 01796 Pirna
116;REWE Lucas Musculus oHG Filiale Franzosenallee 10 in 04289 Leipzig, Stadt-Probstheida
117;REWE Hütter - Einkaufszentrum Filiale Breite Str. 38 in 01796 Pirna
118;REWE Filiale Str. des 17. Juni 32 in 01257 Dresden / Leuben
119;REWE Filiale Scheffelstr. 34 in 04277 Leipzig-Connewitz
120;REWE Filiale Kesselsdorfer Str. 24b in 01159 Dresden OT Löbtau-Nord
121;REWE Filiale Kesselsdorfer Str. 1 in 01159 Dresden
122;REWE Filiale Schillerstr. 28C in 01796 Pirna / Copitz
123;REWE Center Filiale Ludwigsburger Str. 9 in 04209 Leipzig
124;REWE Filiale Grünauer Allee 38 in 04209 Leipzig OT Grünau-Ost
125;REWE Filiale Stuttgarter Allee 29 in 04209 Leipzig
126;REWE Filiale Pirnaer Landstr. 230 in 01259 Dresden
127;REWE City Filiale Antonienstr. 19 in 04229 Leipzig-Kleinzschocher
128;REWE Filiale Friedrich-List-Platz 2 in 01069 Dresden / Südvorstadt-West
129;REWE Filiale Pirnaer Landstr. 145 in 01257 Dresden / Leuben-Leuben
130;REWE City Filiale Prager Str. 1 in 01069 Dresden
131;REWE Filiale Zschochersche Str. 82 b in 04229 Leipzig-Plagwitz
132;REWE Leipzig Thiemestraße Filiale Thiemstraße 1 in 04299 Leipzig
133;REWE Filiale Webergasse 1 in 01067 Dresden
134;REWE Filiale Holzhäuser Str. 110 in 04299 Leipzig/Stötteritz
135;REWE Daniela Ketzscher  oHG Filiale Wallstr. 2 b in 01067 Dresden, Stadt-Innere Altstadt
136;REWE Filiale Wurzener Str. 3 in 04668 Grimma
137;REWE City Filiale Schweriner Str. 12 in 01067 Dresden
138;REWE Filiale Tarostr. 2 in 04103 Leipzig
139;REWE Filiale Lassallestr. 27 in 06217 Merseburg
140;REWE Filiale Bahnhofstr. 1-3 in 06567 Bad Frankenhausen
141;REWE Center Filiale Enderstr. 59 in 01277 Dresden
142;REWE Filiale Straßburger Platz 1 in 01307 Dresden
143;REWE City Filiale Zschochersche Str. 14a in 04229 Leipzig-Lindenau
144;REWE City Filiale Riebeckstr. 10-14 in 04317 Leipzig-Reudnitz-Thonberg
145;REWE Betreiberges. Markt Zösch. GmbH Filiale Pflaumenbaumweg 1 in 06237 Zöschen
146;REWE FMS Handels GmbH Filiale Schandauer Str. 23 b in 01309 Dresden-Striesen
147;REWE Regiemarkt GmbH Filiale Petersstr. 50 in 04109 Leipzig
