;Latitude;Longitude
REWE Filiale Paul-Gerhardt-Allee 30-32 in 81245 Muenchen;481.520.186;114.768.775
REWE Filiale Haunstetter Str. 239-241 in 86179 Augsburg;483.189.723;109.095.569
REWE Filiale Aeusserer Laufer Platz 24 in 90403 Nuernberg;494.569.316;110.877.681
REWE Filiale Industriestr. 5 in 70565 Stuttgart;487.256.085;91.151.667
REWE nahkauf Thomas Auerswald e.K. Filiale Am Anger 27A in 76189 Karlsruhe-Daxlanden;489.939.002;83.366.732
REWE Filiale Brueckenstr. 5 in 68549 Ilvesheim;494.693.387;8.566.894
REWE Filiale Bechtenwaldstr. 5 in 65931 Frankfurt / Zeilsheim-Zeilsheim;500.973.488;84.980.075
REWE Filiale Am Pfarrmorgen 2 in 65205 Wiesbaden;500.373.717;83.556.631
REWE Filiale An der Kotsche 9 in 04207 Leipzig;513.084.067;12.266.242
REWE Filiale Str. des 17. Juni 32 in 01257 Dresden / Leuben;510.006.662;13.830.533
REWE Filiale Michaelshof 2 in 53177 Bonn-Bad Godesberg;506.840.052;71.520.624
REWE Center Filiale Neusser Str. 665 in 50737 Koeln-Weidenpesch-Weidenpesch;509.858.792;69.460.125
REWE Filiale Friedrich-Engels-Allee 279 in 42285 Wuppertal;512.643.236;71.803.623
REWE Filiale Sennestadtring 27-29 in 33689 Bielefeld;519.456.225;85.863.645
REWE Seipenbusch EH-oHG Filiale Mengeder Str. 413 in 44359 Dortmund-Nette;51.559.296;73.989.993
REWE Runkel EH-oHG Filiale Blanckertzstr. 2 in 40629 Duesseldorf-Ludenberg;512.553.083;68.649.278
REWE Mokanski EH-oHG Filiale Westenfelder Str. 202 in 44867 Bochum-Westenfeld;514.651.873;71.499.973
REWE Filiale Hannoversche Str. 92 in 30627 Hannover-Misburg-Nord;523.868.413;98.337.324
REWE Verbrauchermarkt Sliwik GmbH Filiale Am Ellenbogen 24D in 45355 Essen-Borbeck-Mitte;514.796.073;69.452.999
REWE Schueler EH-oHG Filiale Sankt-Urbanus-Kirchplatz 7 in 45894 Gelsenkirchen-Buer;515.814.875;7.051.687
REWE Filiale Turmstr. 60 in 10551 Berlin / Tiergarten-Moabit;525.276.423;133.291.754
REWE Filiale Roemer Str. 244 in 47228 Duisburg;514.255.301;66.685.993
REWE Filiale Wolbecker Str. 44 in 48155 Muenster;519.571.691;76.407.317
REWE Filiale Vor dem Steintor 74 in 28203 Bremen;530.721.007;88.442.091
REWE Filiale Kroonhorst 1-3 in 22549 Hamburg-Osdorf;535.881.347;98.508.082
REWE Filiale Alte Bahnhofstr. 9 in 08606 Oelsnitz/Vogtl.;504.141.806;121.666.361
REWE Filiale Eibenstocker Str. 109 in 08349 Johanngeorgenstadt;504.395.155;126.935.453
REWE Filiale Klingenthaler Str. 107 in 08209 Auerbach;504.968.555;124.219.404
REWE Nahkauf Moerl Filiale Sylvester-Lieb-Str. 2 in 07318 Saalfeld;506.420.379;113.531.625
REWE Filiale Heinrich-Wobst-Str. 1 in 07937 Langenwolschendorf;506.429.278;119.694.058
REWE Filiale Rathenaustr. 5-7 in 07318 Saalfeld;506.541.797;113.867.976
REWE Filiale Lengenfelder Str. 5 in 08468 Reichenbach / Vogtland;506.154.482;123.104.692
REWE Filiale Goethestr. 30 in 08468 Reichenbach im Vogtland;5.062.312;122.937.415
REWE Filiale Str. der Deutschen Einheit 1 e in 07422 Bad Blankenburg;506.804.708;112.744.671
REWE Filiale Bruno-Dost-Str. 1a in 08289 Schneeberg;506.046.604;126.305.666
REWE Filiale Schneeberger Str. 1 in 08107 Kirchberg-Burkersdorf;506.226.197;125.307.924
REWE Filiale Malmsgelaenge 2 in 07381 Poessneck;506.989.671;116.177.841
REWE Filiale Gerhart-Hauptmann-Str. 30 in 07973 Greiz;506.656.999;12.215.329
REWE Filiale Triptiser Str. 12A in 07955 Auma;507.038.956;118.990.884
REWE-Markt Glueck oHG Filiale Marktstrasse 75-81 in 07407 Rudolstadt-Volkstedt;507.192.695;113.346.502
REWE Filiale Zum Festplatz 3 in 07806 Neustadt an der Orla;507.360.794;117.563.469
REWE Nahkauf Petra Mueller Filiale Am Postberg 2 in 07819 Triptis;507.363.535;118.669.783
REWE Filiale Zwickauer Str. 39 in 08112 Wilkau-Hasslau;506.783.676;125.082.364
REWE Filiale Marchlewskistr. 1 in 08062 Zwickau-Neuplanitz;506.967.796;124.601.093
REWE Filiale Uhlandstr. 1 in 08412 Werdau;507.344.487;123.779.898
REWE Filiale Neustaedter Str. 42 in 07570 Weida;507.779.555;120.470.389
REWE nahkauf Loch Filiale Bachstr. 68-72 in 07768 Kahla;508.038.322;11.586.518
REWE Filiale Scheffelstr. 46 in 08066 Zwickau / Eckersbach;50.735.134;125.079.563
REWE Markt Annett Drieschner oHG Filiale Untere Hauptstr. 4b in 09376 Oelsnitz / Erzg.;50.723.032;127.021.086
REWE Filiale Chemnitzer Str. 46 in 09380 Thalheim;507.087.424;128.643.336
REWE Nicole Kunzendorf oHG Filiale Glauchauer Str 11 in 09350 Lichtenstein/Sa., Stadt;507.572.106;12.631.389
REWE Filiale Chemnitzer Str. 1 in 09385 Lugau;507.434.343;127.490.798
REWE Filiale Zeulsdorfer Str. 85 in 07549 Gera-Lusan;508.440.946;12.064.323
REWE Nahkauf Hildebrandt Filiale Am Mahlteich 1 in 09387 Jahnsdorf-Pfaffenhain;5.073.992;1.284.985
REWE Filiale Jenaer Str. 3 in 07646 Stadtroda-Podelsatz;508.672.462;117.167.807
REWE Filiale August-Bebel-Str. 1a in 07551 Gera / Zwoetzen;508.492.303;120.860.598
REWE Filiale Salvador-Allende-Platz 25 in 07747 Jena / Lobeda;508.993.571;115.779.144
REWE Filiale Max-Steenbeck-Str. 48 in 07745 Jena/Winzerla-Winzerla;508.993.571;115.779.144
REWE Center Filiale Kesslerstr. 12 in 07745 Jena-Burgau-Burgau;508.992.189;115.948.761
REWE Markt GmbH Ost Filiale Am Gessingplatz 2 in 09526 Olbernhau, Stadt;50.658.472;133.372.387
REWE Filiale Dornaer Str. 2 in 07545 Gera;508.870.796;120.888.917
REWE Filiale Eisenberger Str. 87 in 07629 Hermsdorf;509.034.203;118.550.234
REWE Filiale Johannes-R.-Becher-Str. 25a in 07546 Gera / Bieblach;508.964.611;120.855.761
REWE Wolfgang Woitschig Filiale Einsiedler Hauptstr. 97 in 09123 Chemnitz;507.701.377;129.740.033
REWE Nahkauf Meissner Filiale Rudolf-Breitscheid-Str. 50 in 09405 Zschopau;507.466.698;130.768.597
REWE Filiale Wladimir-Sagorski-Str. 22 in 09122 Chemnitz-Morgenleite;507.955.662;128.899.439
REWE Filiale Fuchsloecherstr. 5 in 07745 Jena;509.309.987;116.260.439
REWE Center Filiale Annaberger Str. 317 in 09125 Chemnitz-Altchemnitz;507.957.894;129.221.114
REWE FMS Handels GmbH Filiale Zwickauer Str. 452 in 09117 Chemnitz / Reichenbrand-Siegmar;508.168.643;128.415.437
REWE Filiale Emil-Hoellein-Platz 2 in 07743 Jena-Nord;509.427.706;115.944.754
REWE Filiale In den Satteln 4 in 07616 Buergel;509.437.268;117.631.203
REWE Filiale Oberfrohnaer Str. 63+65 in 09117 Chemnitz-Rabenstein;508.256.173;1.283.194
REWE Filiale Waldenburger Str. 33 in 09116 Chemnitz-Altendorf;508.311.603;128.816.731
REWE Filiale Limbacher Str. 63 in 09116 Chemnitz;508.386.671;128.989.061
REWE Filiale Am Wall 1 in 09111 Chemnitz-Zentrum;508.346.177;129.192.648
REWE Filiale Ecke Limbacher Str. 1/ in 09113 Chemnitz;508.386.671;128.989.061
REWE Filiale Jenaer Str. 36 in 07607 Eisenberg;509.712.721;118.837.236
REWE Filiale Planitzwiese 8 in 09130 Chemnitz / Sonnenberg-Sonnenberg;508.411.807;129.516.923
REWE Filiale Eschenstr. 3 in 07774 Dornburg-Camburg;510.084.654;116.840.596
REWE Filiale Chemnitzer Strasse-B 95 in 09322 Penig-Tauscha;50.922.163;127.154.316
REWE Filiale Chemnitzer Str. 91 a in 09217 Burgstaedt;509.081.382;128.050.396
REWE Filiale Seeberstr. 1 in 09557 Floeha, Stadt;508.527.794;130.717.631
REWE Meissner, Petra Filiale Hauptstr. 11C in 09623 Clausnitz;507.472.324;134.879.473
REWE S.E.M. Schkoelener Einkaufsmarkt GmbH Filiale Taubenherd 15 in 07619 Schkoelen-Hainchen;510.424.611;118.228.032
REWE Filiale Naumburger Str. 31-32 in 07774 Camburg;510.551.703;117.100.211
REWE Filiale Zeitzer Str. 51 in 04610 Meuselwitz;5.104.812;1.229.177
REWE nahkauf Thomas Sachse Filiale Fabrikstr. 37 in 04610 Meuselwitz;510.488.222;123.511.769
REWE Filiale Dr.-W.-Kuelz-Str. 8 in 09618 Brand-Erbisdorf;508.709.318;13.323.275
REWE Filiale Am Bahnhof 4 in 09599 Freiberg;509.100.333;133.421.764
REWE Filiale Friedeburger Str. 11 in 09599 Freiberg;509.176.939;133.282.603
REWE Filiale Weissenfelser Str 7 in 06618 Naumburg;511.506.674;118.157.767
REWE Filiale Wilhelm-Kuelz-Str. 8 in 06679 Hohenmoelsen;511.631.708;12.094.513
REWE Nahkauf Sachse Geringswalde Filiale Dresdner Str. 90 in 09326 Geringswalde;510.786.493;129.099.981
REWE Filiale Beuditzpassage 6 in 06667 Weissenfels;5.119.854;1.194.465
REWE Filiale Planberg 7 in 01744 Dippoldiswalde;508.947.029;136.695.723
REWE Filiale Silikastr. 1 in 04651 Bad Lausick;511.408.729;126.547.926
REWE Nahkauf Meissner Hartha HM Filiale Str. des Friedens 6 in 04746 Hartha;510.998.959;129.741.707
REWE Filiale Pegauer Str. 105-107 in 04442 Zwenkau;512.100.045;123.274.024
REWE Filiale Ostwald-Str. 10 in 04703 Leisnig-Fischendorf;511.577.367;129.158.198
REWE Filiale Dresdner Str. 250 in 01705 Freital;50.992.358;13.642.859
REWE Jacqueline Podschun oHG Filiale Markt 3 a in 06242 Braunsbedra;512.847.026;118.840.491
REWE Nahkauf Sachse Filiale Hauptstr. 229 in 04416 Markkleeberg;512.589.578;123.794.533
REWE Filiale Ziegelrodaer Str. 29 in 06571 Rossleben;513.039.413;114.354.951
REWE Filiale Ernst-Thaelmann-Str. 15 in 06249 Muecheln;51.302.073;118.088.631
REWE Filiale Bahnhofstr. 33 in 06577 Heldrungen;513.000.782;112.065.115
REWE Nahkauf Huetter GmbH Freital Oppelstr. Filiale Oppelstr. 3 in 01705 Freital;5.101.594;13.637.079
REWE Nahkauf Sachse Filiale Krakauer Str. 8 in 04420 Markranstaedt-Quesitz;512.988.946;122.180.102
REWE Filiale Ernst-Schneller-Str. 2 in 01809 Heidenau / Sachs;509.698.882;138.645.891
REWE Filiale Am Haupttor 14 in 06237 Leuna;513.260.024;120.133.119
REWE Filiale Siemensstr. 77 in 04420 Markranstaedt;513.113.014;122.339.721
